"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Regina Spektor","Chloe","F","8","Cuevas","191.08526","paid","San Francisco-Oakland-Hayward, CA","606","The Calculation (Album Version)","49"
"Nina Sky","Tegan","F","0","Levine","101.92934","paid","Portland-South Portland, ME","611","Goodbye (Interlude)","80"
"Five Iron Frenzy","Avery","F","0","Watkins","236.09424","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Canada","30"
"Kudai","Avery","F","2","Watkins","256.62649","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Ven","30"
"Pulp","Avery","F","3","Watkins","260.8322","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Do You Remember The First Time?","30"
"SinÃÂ©ad O'Connor","Avery","F","4","Watkins","282.51383","paid","San Jose-Sunnyvale-Santa Clara, CA","324","I Want Your (Hands On Me)","30"
"Paul Brown","Tegan","F","3","Levine","232.54159","paid","Portland-South Portland, ME","611","Chill Out","80"
"Lasgo","Avery","F","5","Watkins","220.13342","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Something (Radio Edit)","30"
"Patty Loveless","Tegan","F","4","Levine","188.13342","paid","Portland-South Portland, ME","611","What's A Broken Heart","80"
"Eddie Vedder","Avery","F","6","Watkins","236.30322","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Society","30"
"Rogue Wave","Tegan","F","5","Levine","234.13506","paid","Portland-South Portland, ME","611","Christians In Black","80"
"Muse","Avery","F","7","Watkins","304.84853","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Uprising","30"
"Amanda Blank","Tegan","F","6","Levine","175.09832","paid","Portland-South Portland, ME","611","Might Like You Better","80"
"The Smiths","Avery","F","8","Watkins","162.24608","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Sheila Take A Bow","30"
"Old 97's","Tegan","F","7","Levine","231.28771","paid","Portland-South Portland, ME","611","Victoria (LP Version)","80"
"Selena","Avery","F","9","Watkins","316.42077","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Dreaming Of You","30"
"Fat Joe","Tegan","F","8","Levine","267.10159","paid","Portland-South Portland, ME","611","What's Luv? (Featuring Ja-Rule & Ashanti) (Explicit Album Version)","80"
"Stars","Avery","F","10","Watkins","193.33179","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Soft Revolution","30"
"James Blunt","Tegan","F","9","Levine","298.4224","paid","Portland-South Portland, ME","611","Same Mistake  (Album Version)","80"
"Mayday Parade","Avery","F","11","Watkins","203.28444","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Bruised And Scarred (Album Version)","30"
"Die Mooskirchner","Tegan","F","10","Levine","169.29914","paid","Portland-South Portland, ME","611","Frisch und g'sund","80"
"Gorillaz","Avery","F","12","Watkins","211.77424","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Rockit","30"
"Toby Keith","Tegan","F","12","Levine","208.48281","paid","Portland-South Portland, ME","611","Should've Been A Cowboy","80"
"Modest Mouse","Avery","F","13","Watkins","284.18567","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Little Motel","30"
"Future Rock","Tegan","F","13","Levine","239.90812","paid","Portland-South Portland, ME","611","Gears","80"
"Noel Pointer","Avery","F","14","Watkins","259.7873","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Superwoman (Where Were You When I Needed You) (Digitally Remastered)","30"
"Callenish Circle","Tegan","F","14","Levine","226.11546","paid","Portland-South Portland, ME","611","Forgotten","80"
"Foo Fighters","Rylan","M","0","George","250.14812","paid","Birmingham-Hoover, AL","575","Everlong","16"
"Portishead","Avery","F","15","Watkins","238.73261","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Hunter","30"
"Taylor Swift","Tegan","F","15","Levine","245.36771","paid","Portland-South Portland, ME","611","The Way I Loved You","80"
"J-Live","Rylan","M","1","George","256.93995","paid","Birmingham-Hoover, AL","575","Longevity","16"
"The White Stripes","Avery","F","16","Watkins","110.47138","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Fell In Love With A Girl","30"
"Dwight Yoakam","Tegan","F","16","Levine","239.3073","paid","Portland-South Portland, ME","611","You're The One","80"
"The Black Keys","Avery","F","17","Watkins","238.99383","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Lies","30"
"Five","Rylan","M","2","George","207.62077","paid","Birmingham-Hoover, AL","575","Got The Feelin'","16"
"Ra","Tegan","F","17","Levine","319.9473","paid","Portland-South Portland, ME","611","Do You Call My Name","80"
"Coolio feat. L.V.","Rylan","M","4","George","241.57995","paid","Birmingham-Hoover, AL","575","Gangsta's Paradise (LP Version)","16"
"Paramore","Avery","F","18","Watkins","211.51302","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Misery Business (Album Version)","30"
"Leggo Beast","Avery","F","19","Watkins","321.93261","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Itchy Feet","30"
"Nneka","Rylan","M","5","George","226.79465","paid","Birmingham-Hoover, AL","575","Gypsy","16"
"Diam's","Tegan","F","18","Levine","250.72281","paid","Portland-South Portland, ME","611","Dans Ma Bulle (Edit Radio - Live 2006)","80"
"Haley Bonar","Rylan","M","6","George","149.26322","paid","Birmingham-Hoover, AL","575","Give It Up","16"
"Mansun","Tegan","F","19","Levine","140.53832","paid","Portland-South Portland, ME","611","Love Remains (Home Demo)","80"
"3 Doors Down","Avery","F","20","Watkins","237.13914","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Here Without You","30"
"The Corrs","Rylan","M","7","George","168.07138","paid","Birmingham-Hoover, AL","575","Toss The Feathers (Instrumental) ( LP Version )","16"
"Big Tymers","Tegan","F","20","Levine","197.79873","paid","Portland-South Portland, ME","611","Big","80"
"Thursday","Avery","F","21","Watkins","215.37914","paid","San Jose-Sunnyvale-Santa Clara, CA","324","I Am The Killer (Album Version)","30"
"Motion City Soundtrack","Rylan","M","8","George","111.49016","paid","Birmingham-Hoover, AL","575","Don't Call It A Comeback (Album Version)","16"
"Usher","Tegan","F","21","Levine","224.10404","paid","Portland-South Portland, ME","611","Hey Daddy (Daddy's Home)","80"
"Juanes","Rylan","M","10","George","233.40363","paid","Birmingham-Hoover, AL","575","No Siento Penas","16"
"The Wombats","Avery","F","22","Watkins","164.70159","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Kill The Director [Radio Edit]","30"
"Katy Perry","Tegan","F","22","Levine","179.40853","paid","Portland-South Portland, ME","611","I Kissed A Girl","80"
"As I Lay Dying","Rylan","M","11","George","231.78404","paid","Birmingham-Hoover, AL","575","The Darkest Nights","16"
"BjÃÂ¶rk","Avery","F","23","Watkins","348.57751","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Undo","30"
"The Bobby Fuller Four","Tegan","F","23","Levine","138.60526","paid","Portland-South Portland, ME","611","I Fought The Law (LP Version)","80"
"Charly GarcÃÂ­a","Rylan","M","12","George","330.89261","paid","Birmingham-Hoover, AL","575","Influencia","16"
"New Bomb Turks","Tegan","F","24","Levine","60.55138","paid","Portland-South Portland, ME","611","Too Much","80"
"The Black Keys","Tegan","F","25","Levine","196.91057","paid","Portland-South Portland, ME","611","All Hands Against His Own","80"
"PeterLicht","Avery","F","24","Watkins","305.97179","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Blaues Blau","30"
"John Mayer","Tegan","F","26","Levine","359.23546","paid","Portland-South Portland, ME","611","Friends_ Lovers Or Nothing","80"
"Stone Temple Pilots","Rylan","M","13","George","255.32036","paid","Birmingham-Hoover, AL","575","A Song For Sleeping (LP Version)","16"
"Bad Lieutenant","Avery","F","25","Watkins","266.84036","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Head Into Tomorrow","30"
"Lily Allen","Rylan","M","14","George","192.49587","paid","Birmingham-Hoover, AL","575","Smile Version Revisited (Mark Ronson Remix) (Explicit)","16"
"Neil Halstead","Tegan","F","27","Levine","294.29506","paid","Portland-South Portland, ME","611","A Gentle Heart","80"
"Juanes","Avery","F","26","Watkins","222.37995","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Un DÃÂ­a Normal","30"
"Distance","Rylan","M","15","George","300.87791","paid","Birmingham-Hoover, AL","575","Ska","16"
"Slipknot","Avery","F","27","Watkins","253.98812","paid","San Jose-Sunnyvale-Santa Clara, CA","324","The Heretic Anthem (Album Version)","30"
"Franz Ferdinand","Tegan","F","28","Levine","137.56036","paid","Portland-South Portland, ME","611","Tell Her Tonight","80"
"Jedi Mind Tricks","Rylan","M","16","George","232.88118","paid","Birmingham-Hoover, AL","575","Suicide","16"
"Miles Davis","Tegan","F","29","Levine","285.20444","paid","Portland-South Portland, ME","611","Stella By Starlight","80"
"B.o.B","Avery","F","28","Watkins","269.63546","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Nothin' On You [feat. Bruno Mars] (Album Version)","30"
"The Avett Brothers","Rylan","M","17","George","300.85179","paid","Birmingham-Hoover, AL","575","I And Love And You","16"
"Joshua Bell / Paul Coker","Tegan","F","30","Levine","275.93098","paid","Portland-South Portland, ME","611","Caprice viennois op.2","80"
"Bad Brains","Avery","F","29","Watkins","32.31302","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Joshua's Song (1991 Digital Remaster)","30"
"Shakira ft. Wyclef Jean","Avery","F","30","Watkins","215.90159","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Hips Don't Lie","30"
"Band Of Horses","Rylan","M","18","George","321.14893","paid","Birmingham-Hoover, AL","575","The Funeral (Album Version)","16"
"Alesana","Tegan","F","31","Levine","185.33832","paid","Portland-South Portland, ME","611","Ambrosia","80"
"Samy Deluxe","Avery","F","31","Watkins","236.77342","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Einfach Ich","30"
"Corona","Tegan","F","32","Levine","408.60689","paid","Portland-South Portland, ME","611","Higher Messiah","80"
"The Presets","Avery","F","32","Watkins","267.54567","paid","San Jose-Sunnyvale-Santa Clara, CA","324","If I Know You","30"
"Pixies","Avery","F","33","Watkins","98.92526","paid","San Jose-Sunnyvale-Santa Clara, CA","324","In Heaven","30"
"Existone","Tegan","F","33","Levine","652.30322","paid","Portland-South Portland, ME","611","Wounded Soul","80"
"John Mayer","Avery","F","34","Watkins","258.16771","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Bold As Love","30"
"Zakir Hussain","Avery","F","35","Watkins","722.442","paid","San Jose-Sunnyvale-Santa Clara, CA","324","The Great ndian Desert","30"
"Jag Panzer","Tegan","F","34","Levine","200.38485","paid","Portland-South Portland, ME","611","Face Of Fear","80"
"Two Door Cinema Club","Tegan","F","35","Levine","189.67465","paid","Portland-South Portland, ME","611","What You Know","80"
"Little Anthony & The Imperials","Tegan","F","36","Levine","127.42485","paid","Portland-South Portland, ME","611","Hurt","80"
"AndrÃÂ©s Cepeda","Avery","F","36","Watkins","211.80036","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Me Lleva Tiempo","30"
"Herb Alpert And The Tijuana Brass","Tegan","F","37","Levine","132.80608","paid","Portland-South Portland, ME","611","So What's New","80"
"Ozma","Avery","F","37","Watkins","144.53506","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Flight Of Yuri Gagarin","30"
"Ozric Tentacles","Tegan","F","38","Levine","461.21751","paid","Portland-South Portland, ME","611","Mooncalf","80"
"Evanescence","Avery","F","38","Watkins","263.78404","paid","San Jose-Sunnyvale-Santa Clara, CA","324","My Immortal (Album Version)","30"
"Weezer","Avery","F","39","Watkins","232.85506","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Velouria","30"
"Flying Lotus","Jahiem","M","0","Miles","115.33016","free","San Antonio-New Braunfels, TX","369","Bad Actors","43"
"Ben Folds","Tegan","F","39","Levine","250.87955","paid","Portland-South Portland, ME","611","Bitches Ain't Shit","80"
"matchbox twenty","Avery","F","40","Watkins","229.14567","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Unwell (Album Version)","30"
"Deftones","Tegan","F","40","Levine","189.75302","paid","Portland-South Portland, ME","611","Feiticeira (LP Version)","80"
"Silverchair","Avery","F","41","Watkins","319.13751","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Without You (Album Version)","30"
"Muse","Tegan","F","41","Levine","258.06322","paid","Portland-South Portland, ME","611","Map Of The Problematique","80"
"Zen CafÃÂ©","Avery","F","42","Watkins","259.02975","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Kotona kaikuu","30"
"Mariah Carey / Twista","Tegan","F","42","Levine","194.7424","paid","Portland-South Portland, ME","611","One And Only","80"
"Strike Anywhere","Avery","F","43","Watkins","120.00608","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Gunpowder","30"
"Tri Sestry","Avery","F","44","Watkins","97.72363","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Had Stupid","30"
"Don Williams","Avery","F","45","Watkins","191.03302","paid","San Jose-Sunnyvale-Santa Clara, CA","324","If Hollywood Don't Need You","30"
"The Nerves","Avery","F","46","Watkins","92.86485","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Are You Famous?","30"
"Ulf Wakenius","Avery","F","47","Watkins","324.15302","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Good Morning Susie Soho","30"
"The Kooks","Avery","F","48","Watkins","168.72444","paid","San Jose-Sunnyvale-Santa Clara, CA","324","She Moves In Her Own Way","30"
"New Radicals","Avery","F","49","Watkins","300.82567","paid","San Jose-Sunnyvale-Santa Clara, CA","324","You Get What You Give","30"
"Wolfmother","Avery","F","50","Watkins","333.7922","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Where Eagles Have Been","30"
"The Shins","Avery","F","51","Watkins","225.61914","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Spilt Needles (Album)","30"
"Nickel Creek","Avery","F","52","Watkins","248.58077","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Reasons Why","30"
"Pigeon John","Avery","F","53","Watkins","180.00934","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Crazy","30"
"Eels","Avery","F","54","Watkins","211.48689","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Love Of The Loveless","30"
"Harmonia","Avery","F","55","Watkins","655.77751","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Sehr kosmisch","30"
"Marina And The Diamonds","Avery","F","56","Watkins","182.59546","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Oh No! (album version)","30"
"Eminem","Avery","F","57","Watkins","284.86485","paid","San Jose-Sunnyvale-Santa Clara, CA","324","The Real Slim Shady","30"
"Hassisen Kone","Avery","F","58","Watkins","162.61179","paid","San Jose-Sunnyvale-Santa Clara, CA","324","REIPPAINA KÃÂYMME REKKAIN ALLE","30"
"Dwight Yoakam","Avery","F","59","Watkins","239.3073","paid","San Jose-Sunnyvale-Santa Clara, CA","324","You're The One","30"
"Sunlounger","Avery","F","60","Watkins","594.15465","paid","San Jose-Sunnyvale-Santa Clara, CA","324","White Sand","30"
"Youssou N'Dour","Avery","F","61","Watkins","238.39302","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Tan bi (Heat_ Breeze_ Tenderness) / Chaleur_ brise_ tendress","30"
"The Decemberists","Avery","F","62","Watkins","209.08363","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Red Right Ankle","30"
"The Ruts","Avery","F","63","Watkins","185.75628","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Savage Circle","30"
"Adrian Legg","Avery","F","64","Watkins","122.77506","paid","San Jose-Sunnyvale-Santa Clara, CA","324","The One-Eyed Turk","30"
"Bedrock","Avery","F","66","Watkins","664.0322","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Set In Stone","30"
"Prince & The Revolution","Kate","F","0","Harrell","280.00608","paid","Lansing-East Lansing, MI","605","Let's Go Crazy (LP Version)","97"
"The Zombies","Kate","F","1","Harrell","157.33506","paid","Lansing-East Lansing, MI","605","She's Coming Home","97"
"Portishead","Kate","F","2","Harrell","238.0273","paid","Lansing-East Lansing, MI","605","Numb","97"
"Jack Johnson","Avery","F","67","Watkins","212.68853","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Breakdown","30"
"Justice","Kate","F","3","Harrell","205.50485","paid","Lansing-East Lansing, MI","605","Let There Be Lite (Album Version)","97"
"Snow Patrol","Avery","F","68","Watkins","223.18975","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Set Down Your Glass","30"
"Lemon Jelly","Kate","F","4","Harrell","238.47138","paid","Lansing-East Lansing, MI","605","Nice Weather For Ducks","97"
"The Lucksmiths","Avery","F","69","Watkins","153.70404","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Tale Of Two Cities","30"
"Ben Kweller","Kate","F","5","Harrell","188.60363","paid","Lansing-East Lansing, MI","605","Magic","97"
"Fedde le Grand Pres. Flamingo","Avery","F","70","Watkins","396.32934","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Take No Shhh (Original Mix)","30"
"Rodrigo y Gabriela","Kate","F","6","Harrell","233.40363","paid","Lansing-East Lansing, MI","605","VIKING MAN","97"
"Black Eyed Peas","Kate","F","7","Harrell","289.12281","paid","Lansing-East Lansing, MI","605","I Gotta Feeling","97"
"Five Iron Frenzy","Avery","F","71","Watkins","236.09424","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Canada","30"
"Creedence Clearwater Revival","Ava","F","0","Robinson","164.57098","free","New Haven-Milford, CT","598","Down On The Corner","50"
"Kings Of Leon","Ava","F","1","Robinson","186.69669","free","New Haven-Milford, CT","598","Camaro","50"
"Fireflight","Avery","F","72","Watkins","201.16853","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Unbreakable","30"
"Steppenwolf","Kate","F","8","Harrell","208.14322","paid","Lansing-East Lansing, MI","605","Born To Be Wild","97"
"New Found Glory","Ava","F","2","Robinson","222.69342","free","New Haven-Milford, CT","598","the king of wishful thinking","50"
"The Pussycat Dolls","Avery","F","73","Watkins","221.1522","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Elevator","30"
"Eric Clapton","Kate","F","9","Harrell","208.48281","paid","Lansing-East Lansing, MI","605","Willie And The Hand Jive","97"
"Josh Groban","Devin","M","1","Larson","260.70159","free","Tampa-St. Petersburg-Clearwater, FL","531","Little Drummer Boy [featuring guitarist Andy McKee] (Album Version)","60"
"The Dresden Dolls","Avery","F","74","Watkins","286.40608","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Coin-Operated Boy","30"
"Pixies","Kate","F","10","Harrell","229.3024","paid","Lansing-East Lansing, MI","605","Where Is My Mind?","97"
"Creedence Clearwater Revival","Devin","M","2","Larson","271.882","free","Tampa-St. Petersburg-Clearwater, FL","531","I Put A Spell On You","60"
"The Smiths","Kate","F","11","Harrell","123.01016","paid","Lansing-East Lansing, MI","605","Girlfriend In A Coma","97"
"Danger Doom","Avery","F","75","Watkins","187.27138","paid","San Jose-Sunnyvale-Santa Clara, CA","324","No Names (Black Debbie) (Album Version)","30"
"Taylor Swift","Kate","F","12","Harrell","233.89995","paid","Lansing-East Lansing, MI","605","Love Story","97"
"Vilma Palma e Vampiros","Avery","F","76","Watkins","281.99138","paid","San Jose-Sunnyvale-Santa Clara, CA","324","La pachanga","30"
"Busta Rhymes feat. Pharrell","Kate","F","13","Harrell","220.47302","paid","Lansing-East Lansing, MI","605","Light Your Ass On Fire","97"
"Little People","Avery","F","77","Watkins","230.1122","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Above The Clouds","30"
"Dwight Yoakam","Kate","F","14","Harrell","239.3073","paid","Lansing-East Lansing, MI","605","You're The One","97"
"Amy Winehouse","Avery","F","78","Watkins","164.85832","paid","San Jose-Sunnyvale-Santa Clara, CA","324","He Can Only Hold Her","30"
"Ernie K-Doe","Kate","F","15","Harrell","160.96608","paid","Lansing-East Lansing, MI","605","Te-Ta-Te-Ta-Ta (2002 Digital Remaster)","97"
"Alesana","Avery","F","79","Watkins","242.49424","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Congratulations_ I Hate You","30"
"Dwight Yoakam","Kate","F","16","Harrell","239.3073","paid","Lansing-East Lansing, MI","605","You're The One","97"
"Gazpacho","Avery","F","80","Watkins","253.51791","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Premonicion","30"
"Black Lips","Kate","F","17","Harrell","162.76853","paid","Lansing-East Lansing, MI","605","Lock and Key","97"
"Kanye West","Kate","F","18","Harrell","311.84934","paid","Lansing-East Lansing, MI","605","Stronger","97"
"Arcade Fire","Avery","F","81","Watkins","136.69832","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Neon Bible","30"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Avery","F","82","Watkins","277.15873","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","30"
"Fanfarlo","Kate","F","19","Harrell","270.78485","paid","Lansing-East Lansing, MI","605","I'm a Pilot","97"
"Crystal Castles","Avery","F","83","Watkins","251.08853","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Empathy","30"
"Zeca Baleiro","Kate","F","20","Harrell","452.8322","paid","Lansing-East Lansing, MI","605","Brigitte Bardot","97"
"Angus & Julia Stone","Avery","F","86","Watkins","236.95628","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Just A Boy","30"
"Julian Casablancas","Avery","F","87","Watkins","302.47138","paid","San Jose-Sunnyvale-Santa Clara, CA","324","4 Chords of the Apocalypse","30"
"Fat Joe","Kate","F","21","Harrell","241.34485","paid","Lansing-East Lansing, MI","605","Safe 2 Say [The Incredible] (Album Version - Amended)","97"
"Usher Featuring Lil' Jon & Ludacris","Avery","F","88","Watkins","250.38322","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Yeah!","30"
"Pat Benatar","Kate","F","22","Harrell","290.37669","paid","Lansing-East Lansing, MI","605","Don't Walk Away","97"
"Fergie","Avery","F","89","Watkins","248.39791","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Losing My Ground","30"
"Muse","Kate","F","23","Harrell","209.50159","paid","Lansing-East Lansing, MI","605","Supermassive Black Hole (Twilight Soundtrack Version)","97"
"Two Door Cinema Club","Avery","F","90","Watkins","168.09751","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Undercover Martyn","30"
"Spineshank","Kate","F","24","Harrell","167.26159","paid","Lansing-East Lansing, MI","605","Intake (Album Version)","97"
"Whitney Houston Duet With Mariah Carey","Avery","F","91","Watkins","273.34485","paid","San Jose-Sunnyvale-Santa Clara, CA","324","When You Believe","30"
"Death Cab for Cutie","Kate","F","25","Harrell","488.64608","paid","Lansing-East Lansing, MI","605","Transatlanticism","97"
"Noir DÃÂ©sir","Avery","F","92","Watkins","374.77832","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Ces Gens LÃÂ ","30"
"Paramore","Kate","F","26","Harrell","243.51302","paid","Lansing-East Lansing, MI","605","Emergency (Album Version)","97"
"My Chemical Romance","Avery","F","93","Watkins","188.05506","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Cemetery Drive (Album Version)","30"
"Vincent Vincent And The Villains","Kate","F","27","Harrell","154.64444","paid","Lansing-East Lansing, MI","605","On My Own","97"
"Phoenix","Avery","F","94","Watkins","229.79873","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Run Run Run","30"
"Beastie Boys","Kate","F","28","Harrell","193.54077","paid","Lansing-East Lansing, MI","605","Skills To Pay The Bills","97"
"Natasha Bedingfield","Lily","F","0","Burns","216.65914","free","New York-Newark-Jersey City, NY-NJ-PA","554","These Words","32"
"Calle 13","Avery","F","95","Watkins","239.3073","paid","San Jose-Sunnyvale-Santa Clara, CA","324","AtrÃÂ©vete te te","30"
"Sondre Lerche","Kate","F","29","Harrell","215.71873","paid","Lansing-East Lansing, MI","605","Modern Nature","97"
"Cecilia","Lily","F","1","Burns","157.77914","free","New York-Newark-Jersey City, NY-NJ-PA","554","Ultimo Baile","32"
"Air","Avery","F","96","Watkins","258.58567","paid","San Jose-Sunnyvale-Santa Clara, CA","324","Mayfair Song","30"
"Five Iron Frenzy","Kate","F","30","Harrell","236.09424","paid","Lansing-East Lansing, MI","605","Canada","97"
"Kings Of Convenience","Lily","F","2","Burns","245.02812","free","New York-Newark-Jersey City, NY-NJ-PA","554","Riot On An Empty Street","32"
"Rhonda Vincent","Avery","F","97","Watkins","142.78485","paid","San Jose-Sunnyvale-Santa Clara, CA","324","You're In My Heart","30"
